Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia40,sopraSoglia
Piemonte,3169,5824,299,628,99,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITC1,2,54.412775,◼
Puglia,1554,3623,196,569,80,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITF4,2,42.892630,◼
Sardegna,172,1602,29,208,35,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITG2,2,10.736579,
Sicilia,725,3880,113,834,196,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITG1,2,18.685567,
Toscana,1430,5033,239,598,18,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITI1,2,28.412478,
Umbria,402,860,78,139,2,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITI2,2,46.744186,◼
Valle d'Aosta,14,227,3,20,12,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITC2,2,6.167401,
Veneto,1282,6000,186,1000,0,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16,ITH3,2,21.366667,
Abruzzo,667,1495,89,215,0,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITF1,2,44.615385,◼
Basilicata,159,422,14,88,13,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITF5,2,37.677725,
Calabria,283,911,28,152,25,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITF6,2,31.064764,
Campania,1541,4211,161,620,36,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITF3,2,36.594633,
Emilia-Romagna,3542,6490,381,760,0,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITH5,2,54.576271,◼
Friuli Venezia Giulia,538,1277,76,175,0,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITH4,2,42.129992,◼
Lazio,2408,6421,296,943,193,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITI4,2,37.501947,
Liguria,574,1795,63,222,12,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITC3,2,31.977716,
Lombardia,6641,12992,781,1416,114,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITC4,2,51.116071,◼
Marche,747,1176,133,233,40,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITI3,2,63.520408,◼
Molise,96,221,17,39,0,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITF2,2,43.438914,◼
P.A. Bolzano,141,504,33,100,0,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITH1,2,27.976190,
P.A. Trento,199,594,54,90,15,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITH2,2,33.501684,
Piemonte,3281,5824,315,628,99,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITC1,2,56.335852,◼
Puglia,1592,3623,218,569,80,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITF4,2,43.941485,◼
Sardegna,163,1602,29,208,35,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITG2,2,10.174782,
Sicilia,734,3881,116,834,196,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITG1,2,18.912651,
Toscana,1453,5033,241,598,22,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITI1,2,28.869462,
Umbria,406,860,79,139,2,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITI2,2,47.209302,◼
Valle d'Aosta,15,227,2,20,12,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITC2,2,6.607930,
Veneto,1337,6000,191,1000,0,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17,ITH3,2,22.283333,
Abruzzo,667,1495,89,215,0,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITF1,2,44.615385,◼
Basilicata,164,426,12,88,13,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITF5,2,38.497653,
Calabria,294,911,33,152,25,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITF6,2,32.272228,
Campania,1562,4216,153,620,36,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITF3,2,37.049336,
Emilia-Romagna,3551,6490,385,760,0,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITH5,2,54.714946,◼
Friuli Venezia Giulia,545,1277,77,175,0,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITH4,2,42.678152,◼
Lazio,2422,6421,299,943,193,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITI4,2,37.719981,
Liguria,567,1787,64,222,12,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITC3,2,31.729155,
Lombardia,6744,13209,786,1416,114,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITC4,2,51.056098,◼
Marche,752,1176,139,233,40,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITI3,2,63.945578,◼
Molise,93,221,14,39,0,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITF2,2,42.081448,◼
P.A. Bolzano,135,504,31,100,0,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITH1,2,26.785714,
P.A. Trento,204,594,55,90,15,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITH2,2,34.343434,
Piemonte,3279,5824,315,628,99,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITC1,2,56.301511,◼
Puglia,1582,3651,219,569,80,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITF4,2,43.330594,◼
Sardegna,170,1602,28,208,35,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITG2,2,10.611735,
Sicilia,731,3881,117,834,196,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITG1,2,18.835352,
Toscana,1454,5033,246,595,22,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITI1,2,28.889330,
Umbria,404,860,76,139,2,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITI2,2,46.976744,◼
Valle d'Aosta,22,227,2,20,12,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITC2,2,9.691630,
Veneto,1352,6000,193,1000,0,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18,ITH3,2,22.533333,
Abruzzo,672,1495,88,215,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITF1,2,44.949833,◼
Basilicata,167,426,13,88,13,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITF5,2,39.201878,
Calabria,300,917,36,152,25,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITF6,2,32.715376,
Campania,1569,4216,155,620,36,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITF3,2,37.215370,
Emilia-Romagna,3549,6490,386,760,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITH5,2,54.684129,◼
Friuli Venezia Giulia,547,1277,77,175,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITH4,2,42.834769,◼
Lazio,2439,6421,308,943,193,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITI4,2,37.984738,
Liguria,578,1785,63,222,12,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITC3,2,32.380952,
Lombardia,6796,13371,788,1416,114,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITC4,2,50.826415,◼
Marche,749,1176,141,239,34,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITI3,2,63.690476,◼
Molise,93,221,14,39,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITF2,2,42.081448,◼
P.A. Bolzano,122,500,32,100,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITH1,2,24.400000,
P.A. Trento,203,594,55,90,15,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITH2,2,34.175084,
Piemonte,3332,5824,326,628,99,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITC1,2,57.211538,◼
Puglia,1630,3651,214,569,80,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITF4,2,44.645303,◼
Sardegna,176,1602,25,208,35,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITG2,2,10.986267,
Sicilia,726,3880,121,834,196,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITG1,2,18.711340,
Toscana,1448,5033,246,598,20,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITI1,2,28.770117,
Umbria,385,860,75,139,2,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITI2,2,44.767442,◼
Valle d'Aosta,24,227,2,20,12,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITC2,2,10.572687,
Veneto,1353,6000,199,1000,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53,2021-03-19,ITH3,2,22.550000,
Abruzzo,668,1495,83,215,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITF1,2,44.682274,◼
Basilicata,166,426,14,88,13,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITF5,2,38.967136,
Calabria,305,917,37,152,25,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITF6,2,33.260632,
Campania,1575,4218,161,620,36,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITF3,2,37.339972,
Emilia-Romagna,3519,6490,401,760,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITH5,2,54.221880,◼
Friuli Venezia Giulia,564,1277,80,175,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITH4,2,44.166014,◼
Lazio,2484,6421,309,943,193,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITI4,2,38.685563,
Liguria,585,1789,65,222,12,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITC3,2,32.699832,
Lombardia,6891,13387,791,1416,114,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITC4,2,51.475312,◼
Marche,755,1176,140,243,30,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITI3,2,64.200680,◼
Molise,97,221,16,39,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITF2,2,43.891403,◼
P.A. Bolzano,121,494,32,100,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITH1,2,24.493927,
P.A. Trento,203,594,52,90,15,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITH2,2,34.175084,
Piemonte,3361,5824,332,628,99,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITC1,2,57.709478,◼
Puglia,1668,3651,209,569,80,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITF4,2,45.686113,◼
Sardegna,175,1602,22,208,35,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITG2,2,10.923845,
Sicilia,731,3879,122,834,196,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITG1,2,18.845063,
Toscana,1424,5033,240,599,20,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITI1,2,28.293264,
Umbria,372,860,74,139,2,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITI2,2,43.255814,◼
Valle d'Aosta,25,227,2,20,12,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITC2,2,11.013216,
Veneto,1372,6000,205,1000,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58,2021-03-20,ITH3,2,22.866667,
Abruzzo,671,1495,85,215,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITF1,2,44.882943,◼
Basilicata,162,426,13,88,13,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITF5,2,38.028169,
Calabria,311,917,32,152,25,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITF6,2,33.914940,
Campania,1613,4219,173,620,36,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITF3,2,38.231808,
Emilia-Romagna,3566,6490,396,760,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITH5,2,54.946071,◼
Friuli Venezia Giulia,596,1277,81,175,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITH4,2,46.671887,◼
Lazio,2583,6421,321,943,193,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITI4,2,40.227379,◼
Liguria,586,1789,59,222,12,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITC3,2,32.755729,
Lombardia,6926,13397,806,1416,114,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITC4,2,51.698141,◼
Marche,761,1179,146,240,30,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITI3,2,64.546226,◼
Molise,100,221,16,39,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITF2,2,45.248869,◼
P.A. Bolzano,123,499,30,100,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITH1,2,24.649299,
P.A. Trento,214,594,52,90,15,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITH2,2,36.026936,
Piemonte,3455,5824,346,628,99,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITC1,2,59.323489,◼
Puglia,1683,3657,212,569,80,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITF4,2,46.021329,◼
Sardegna,178,1602,21,208,35,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITG2,2,11.111111,
Sicilia,751,3879,125,834,196,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITG1,2,19.360660,
Toscana,1408,5033,245,601,18,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITI1,2,27.975363,
Umbria,366,860,72,139,2,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITI2,2,42.558140,◼
Valle d'Aosta,22,227,2,20,12,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITC2,2,9.691630,
Veneto,1409,6000,215,1000,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50,2021-03-21,ITH3,2,23.483333,
Abruzzo,670,1495,89,215,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITF1,2,44.816054,◼
Basilicata,158,423,14,88,13,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITF5,2,37.352246,
Calabria,315,917,33,152,25,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITF6,2,34.351145,
Campania,1620,4219,171,620,36,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITF3,2,38.397725,
Emilia-Romagna,3702,6498,390,760,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITH5,2,56.971376,◼
Friuli Venezia Giulia,611,1277,82,175,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITH4,2,47.846515,◼
Lazio,2678,6421,341,943,193,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITI4,2,41.706899,◼
Liguria,602,1789,58,222,12,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITC3,2,33.650084,
Lombardia,6952,13496,822,1416,114,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITC4,2,51.511559,◼
Marche,768,1176,152,248,16,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITI3,2,65.306122,◼
Molise,94,221,19,39,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITF2,2,42.533937,◼
P.A. Bolzano,128,504,30,100,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITH1,2,25.396825,
P.A. Trento,211,594,53,90,15,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITH2,2,35.521886,
Piemonte,3536,5824,349,628,99,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITC1,2,60.714286,◼
Puglia,1712,3671,223,569,80,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITF4,2,46.635794,◼
Sardegna,185,1602,22,208,35,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITG2,2,11.548065,
Sicilia,783,3879,123,834,196,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITG1,2,20.185615,
Toscana,1461,5033,245,601,18,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITI1,2,29.028412,
Umbria,388,860,73,139,2,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITI2,2,45.116279,◼
Valle d'Aosta,23,227,2,20,12,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITC2,2,10.132159,
Veneto,1452,6000,219,1000,0,Dati della Protezione Civile del 22 Marzo 2021 ore 18:18,2021-03-22,ITH3,2,24.200000,
Abruzzo,657,1495,87,215,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITF1,2,43.946488,◼
Basilicata,159,423,13,88,13,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITF5,2,37.588652,
Calabria,323,917,33,152,25,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITF6,2,35.223555,
Campania,1598,4219,178,620,36,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITF3,2,37.876274,
Emilia-Romagna,3659,6498,395,760,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITH5,2,56.309634,◼
Friuli Venezia Giulia,620,1277,83,175,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITH4,2,48.551292,◼
Lazio,2683,6421,346,943,193,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITI4,2,41.784769,◼
Liguria,604,1789,65,222,12,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITC3,2,33.761878,
Lombardia,7165,13534,836,1416,114,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITC4,2,52.940742,◼
Marche,799,1255,146,238,16,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITI3,2,63.665339,◼
Molise,91,221,17,39,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITF2,2,41.176471,◼
P.A. Bolzano,120,504,30,100,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITH1,2,23.809524,
P.A. Trento,205,594,52,90,15,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITH2,2,34.511785,
Piemonte,3572,5824,347,628,99,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITC1,2,61.332418,◼
Puglia,1787,3673,224,569,80,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITF4,2,48.652328,◼
Sardegna,172,1602,24,208,35,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITG2,2,10.736579,
Sicilia,814,3881,121,834,196,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITG1,2,20.973976,
Toscana,1486,5033,243,607,19,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITI1,2,29.525134,
Umbria,383,860,67,139,2,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITI2,2,44.534884,◼
Valle d'Aosta,26,227,3,20,12,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITC2,2,11.453744,
Veneto,1505,6000,236,1000,0,Dati della Protezione Civile del 23 Marzo 2021 ore 18:12,2021-03-23,ITH3,2,25.083333,
Abruzzo,635,1495,82,215,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITF1,2,42.474916,◼
Basilicata,148,423,14,88,13,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITF5,2,34.988180,
Calabria,326,911,33,152,25,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITF6,2,35.784852,
Campania,1587,4221,179,620,36,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITF3,2,37.597726,
Emilia-Romagna,3614,6505,397,760,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITH5,2,55.557264,◼
Friuli Venezia Giulia,634,1277,80,175,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITH4,2,49.647612,◼
Lazio,2724,6421,350,943,193,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITI4,2,42.423299,◼
Liguria,597,1789,63,222,12,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITC3,2,33.370598,
Lombardia,7178,13524,845,1416,114,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITC4,2,53.076013,◼
Marche,803,1360,156,250,16,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITI3,2,59.044118,◼
Molise,89,221,17,39,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITF2,2,40.271493,◼
P.A. Bolzano,115,488,31,100,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITH1,2,23.565574,
P.A. Trento,208,594,47,90,15,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITH2,2,35.016835,
Piemonte,3608,5824,354,628,99,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITC1,2,61.950549,◼
Puglia,1761,3716,227,569,80,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITF4,2,47.389666,◼
Sardegna,173,1602,26,208,35,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITG2,2,10.799001,
Sicilia,812,3879,119,834,196,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITG1,2,20.933230,
Toscana,1488,5033,253,618,19,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITI1,2,29.564872,
Umbria,382,860,66,139,2,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITI2,2,44.418605,◼
Valle d'Aosta,27,227,3,20,12,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITC2,2,11.894273,
Veneto,1529,6000,246,1000,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20,2021-03-24,ITH3,2,25.483333,
Abruzzo,621,1495,79,215,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITF1,2,41.538462,◼
Basilicata,156,423,15,88,13,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITF5,2,36.879433,
Calabria,331,911,34,152,25,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITF6,2,36.333699,
Campania,1576,4221,184,620,36,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITF3,2,37.337124,
Emilia-Romagna,3557,6505,402,760,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITH5,2,54.681015,◼
Friuli Venezia Giulia,645,1277,78,175,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITH4,2,50.509005,◼
Lazio,2763,6421,355,943,193,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITI4,2,43.030681,◼
Liguria,589,1785,65,222,12,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITC3,2,32.997199,
Lombardia,7132,13549,845,1416,114,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITC4,2,52.638571,◼
Marche,804,1360,157,250,16,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITI3,2,59.117647,◼
Molise,87,221,16,39,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITF2,2,39.366516,
P.A. Bolzano,106,488,31,100,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITH1,2,21.721311,
P.A. Trento,203,594,45,90,15,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITH2,2,34.175084,
Piemonte,3677,5824,357,628,99,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITC1,2,63.135302,◼
Puglia,1762,3718,231,569,80,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITF4,2,47.391070,◼
Sardegna,173,1602,27,208,35,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITG2,2,10.799001,
Sicilia,813,3879,118,834,196,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITG1,2,20.959010,
Toscana,1470,5033,257,618,19,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITI1,2,29.207232,
Umbria,375,860,63,139,2,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITI2,2,43.604651,◼
Valle d'Aosta,28,227,5,20,12,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITC2,2,12.334802,
Veneto,1556,6000,256,1000,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50,2021-03-25,ITH3,2,25.933333,
Abruzzo,615,1495,85,215,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26,ITF1,2,41.137124,◼
Basilicata,157,428,15,88,13,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26,ITF5,2,36.682243,
Calabria,340,913,35,152,25,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26,ITF6,2,37.239869,
Campania,1586,4221,181,620,36,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26,ITF3,2,37.574035,
Emilia-Romagna,3515,6515,399,760,0,Dati della Protezione Civile del 26 Marzo 2021 ore 19:16,2021-03-26,ITH5,2,53.952417,◼
