Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Sicilia,695,158193,13681,275,775,6%,667,13,0.3%,108,2.17,-3.6%,Dati della Protezione Civile del 10 Marzo 2021 ore 18:36,2021-03-10
Toscana,1293,167745,22497,604,1456,6%,1248,34,2.7%,208,5.59,-0.5%,Dati della Protezione Civile del 10 Marzo 2021 ore 18:36,2021-03-10
Umbria,296,47009,6640,754,493,7%,413,47,-4.2%,80,9.09,1.3%,Dati della Protezione Civile del 10 Marzo 2021 ore 18:36,2021-03-10
Valle d'Aosta,20,8179,208,166,14,7%,12,10,33.3%,2,1.59,0%,Dati della Protezione Civile del 10 Marzo 2021 ore 18:36,2021-03-10
Veneto,1561,346436,30788,627,1209,4%,1061,22,4.7%,148,3.02,5%,Dati della Protezione Civile del 10 Marzo 2021 ore 18:36,2021-03-10
Abruzzo,608,58931,12898,988,752,6%,661,51,-1.2%,91,6.97,4.6%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Basilicata,151,17065,3915,703,131,3%,118,21,12.4%,13,2.33,-18.8%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Calabria,414,40305,7088,368,273,4%,243,13,3%,30,1.56,-9.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Campania,2981,295589,93707,1620,1648,2%,1492,26,1.4%,156,2.7,9.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Emilia-Romagna,2845,289957,60666,1358,3506,6%,3161,71,2.2%,345,7.72,3.6%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Friuli Venezia Giulia,991,83619,13174,1088,558,4%,497,41,1.6%,61,5.04,-4.7%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Lazio,1800,250229,39338,671,2346,6%,2088,36,0.6%,258,4.4,-3.4%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Liguria,405,81610,6060,393,578,10%,514,33,-2.3%,64,4.15,-4.5%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Lombardia,5849,650633,88668,878,6363,7%,5718,57,2.4%,645,6.38,4.5%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Marche,921,75685,10832,713,769,7%,662,44,1.4%,107,7.05,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Molise,84,11398,1549,512,125,8%,105,35,6.1%,20,6.62,-16.7%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
P.A. Bolzano,203,55915,4652,874,207,4%,169,32,-5.1%,38,7.14,-5%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
P.A. Trento,370,36997,4127,760,247,6%,198,36,-1.5%,49,9.03,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Piemonte,2322,266861,26005,599,2848,11%,2605,60,2.9%,243,5.6,-0.4%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Puglia,1634,160542,36986,923,1571,4%,1399,35,0.1%,172,4.29,4.2%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Sardegna,128,42152,12765,783,197,2%,174,11,1.8%,23,1.41,-8%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Sicilia,672,158865,13522,272,771,6%,671,14,0.6%,100,2.01,-7.4%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Toscana,1302,169047,22897,615,1488,6%,1280,34,2.6%,208,5.59,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Umbria,283,47292,6597,749,487,7%,407,46,-1.5%,80,9.09,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Valle d'Aosta,33,8212,230,183,14,6%,12,10,0%,2,1.59,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Veneto,1677,348113,31674,645,1227,4%,1073,22,1.1%,154,3.14,4.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47,2021-03-11
Abruzzo,515,59446,12910,989,744,6%,652,50,-1.4%,92,7.05,1.1%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Basilicata,141,17206,3932,706,137,3%,124,22,5.1%,13,2.33,0%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Calabria,305,40610,7220,375,279,4%,245,13,0.8%,34,1.77,13.3%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Campania,2644,298233,94904,1640,1651,2%,1502,26,0.7%,149,2.58,-4.5%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Emilia-Romagna,3477,293400,62617,1402,3547,6%,3197,72,1.1%,350,7.84,1.4%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Friuli Venezia Giulia,971,84590,13741,1134,563,4%,498,41,0.2%,65,5.37,6.6%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Lazio,1757,251986,40314,687,2398,6%,2128,36,1.9%,270,4.6,4.7%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Liguria,406,82016,6191,401,576,9%,512,33,-0.4%,64,4.15,0%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Lombardia,6262,656895,92725,918,6576,7%,5909,58,3.3%,667,6.6,3.4%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Marche,874,76559,10858,715,784,7%,673,44,1.7%,111,7.31,3.7%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Molise,73,11471,1560,516,120,8%,102,34,-2.9%,18,5.96,-10%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
P.A. Bolzano,147,56062,4353,818,204,5%,166,31,-1.8%,38,7.14,0%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
P.A. Trento,281,37278,4139,763,240,6%,194,36,-2%,46,8.48,-6.1%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Piemonte,2929,269790,27639,637,2931,11%,2684,62,3%,247,5.69,1.6%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Puglia,1774,162316,37306,931,1583,4%,1409,35,0.7%,174,4.34,1.2%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Sardegna,106,42258,12760,783,199,2%,177,11,1.7%,22,1.35,-4.3%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Sicilia,679,159544,13796,278,772,6%,671,14,0%,101,2.03,1%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Toscana,1304,170351,23194,623,1510,7%,1292,35,0.9%,218,5.86,4.8%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Umbria,219,47511,6361,723,482,8%,403,46,-1%,79,8.97,-1.3%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Valle d'Aosta,28,8240,247,197,14,6%,12,10,0%,2,1.59,0%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Veneto,1932,350045,32550,663,1260,4%,1106,23,3.1%,154,3.14,0%,Dati della Protezione Civile del 12 Marzo 2021 ore 18:28,2021-03-12
Abruzzo,320,59765,12636,968,743,6%,649,50,-0.5%,94,7.2,2.2%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Basilicata,137,17343,4028,723,136,3%,122,22,-1.6%,14,2.51,7.7%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Calabria,275,40885,7411,385,276,4%,244,13,-0.4%,32,1.66,-5.9%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Campania,2940,301173,96132,1661,1697,2%,1547,27,3%,150,2.59,0.7%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Emilia-Romagna,2950,296324,64487,1444,3608,6%,3254,73,1.8%,354,7.92,1.1%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Friuli Venezia Giulia,953,85543,14175,1170,569,4%,504,42,1.2%,65,5.37,0%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Lazio,1998,253984,41505,708,2450,6%,2172,37,2.1%,278,4.74,3%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Liguria,307,82323,6229,404,576,9%,512,33,0%,64,4.15,0%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Lombardia,5809,662704,94493,935,6762,7%,6068,60,2.7%,694,6.87,4%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Marche,1000,77559,11063,729,813,7%,695,46,3.3%,118,7.77,6.3%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Molise,104,11575,1580,523,119,8%,101,33,-1%,18,5.96,0%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
P.A. Bolzano,183,56241,4219,793,191,5%,155,29,-6.6%,36,6.77,-5.3%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
P.A. Trento,239,37517,4185,771,237,6%,192,35,-1%,45,8.29,-2.2%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Piemonte,2159,271949,28677,661,3041,11%,2790,64,3.9%,251,5.78,1.6%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Puglia,1700,164016,38367,957,1617,4%,1442,36,2.3%,175,4.37,0.6%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Sardegna,103,42361,12789,784,199,2%,173,11,-2.3%,26,1.59,18.2%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Sicilia,650,160194,13870,279,783,6%,684,14,1.9%,99,1.99,-2%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Toscana,1326,171677,23729,637,1549,7%,1332,36,3.1%,217,5.83,-0.5%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Umbria,196,47707,6152,699,471,8%,391,44,-3%,80,9.09,1.3%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Valle d'Aosta,31,8271,272,217,17,6%,15,12,25%,2,1.59,0%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Veneto,2682,352727,34062,694,1281,4%,1111,23,0.5%,170,3.46,10.4%,Dati della Protezione Civile del 13 Marzo 2021 ore 17:41,2021-03-13
Abruzzo,323,60088,12840,983,766,6%,673,52,3.7%,93,7.12,-1.1%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Basilicata,106,17449,4091,735,160,4%,144,26,18%,16,2.87,14.3%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Calabria,300,41185,7557,393,276,4%,246,13,0.8%,30,1.56,-6.3%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Campania,2449,303622,96995,1676,1690,2%,1529,26,-1.2%,161,2.78,7.3%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Emilia-Romagna,3023,299339,66568,1490,3685,6%,3321,74,2.1%,364,8.15,2.8%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Friuli Venezia Giulia,604,86147,14341,1184,595,4%,528,44,4.8%,67,5.53,3.1%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Lazio,1812,255796,42587,726,2493,6%,2214,38,1.9%,279,4.76,0.4%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Liguria,321,82644,6264,406,598,10%,535,35,4.5%,63,4.08,-1.6%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Lombardia,4334,667038,97487,965,6791,7%,6077,60,0.1%,714,7.07,2.9%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Marche,616,78175,10910,719,834,8%,703,46,1.2%,131,8.63,11%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Molise,52,11627,1560,516,114,7%,96,32,-5%,18,5.96,0%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
P.A. Bolzano,103,56341,4085,768,193,5%,160,30,3.2%,33,6.2,-8.3%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
P.A. Trento,273,37790,4312,794,247,6%,200,37,4.2%,47,8.66,4.4%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Piemonte,1530,273479,29652,683,3153,11%,2886,66,3.4%,267,6.15,6.4%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Puglia,1542,165558,39142,977,1632,4%,1458,36,1.1%,174,4.34,-0.6%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Sardegna,118,42479,12880,790,198,2%,171,10,-1.2%,27,1.66,3.8%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Sicilia,613,160807,14323,288,791,6%,691,14,1%,100,2.01,1%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Toscana,1305,172982,24265,652,1599,7%,1363,37,2.3%,236,6.34,8.8%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Umbria,270,47977,6099,693,481,8%,402,46,2.8%,79,8.97,-1.3%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Valle d'Aosta,34,8305,302,241,16,5%,14,11,-6.7%,2,1.59,0%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Veneto,1587,354314,35006,713,1288,4%,1107,23,-0.4%,181,3.69,6.5%,Dati della Protezione Civile del 14 Marzo 2021 ore 18:52,2021-03-14
Abruzzo,329,60416,12806,981,772,6%,685,52,1.8%,87,6.66,-6.5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Basilicata,67,17516,4121,740,174,4%,157,28,9%,17,3.05,6.3%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Calabria,213,41398,7636,397,286,4%,258,13,4.9%,28,1.45,-6.7%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Campania,1823,305445,97046,1677,1704,2%,1543,27,0.9%,161,2.78,0%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Emilia-Romagna,2822,302148,68293,1529,3837,6%,3464,78,4.3%,373,8.35,2.5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Friuli Venezia Giulia,398,86545,14438,1192,602,4%,532,44,0.8%,70,5.78,4.5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Lazio,1536,257332,43439,741,2590,6%,2297,39,3.7%,293,5,5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Liguria,242,82886,6337,411,632,10%,568,37,6.2%,64,4.15,1.6%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Lombardia,2185,669223,93163,922,6926,7%,6198,61,2%,728,7.21,2%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Marche,415,78590,10442,688,854,8%,722,48,2.7%,132,8.69,0.8%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Molise,17,11644,1523,504,121,8%,101,33,5.2%,20,6.62,11.1%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
P.A. Bolzano,13,56353,3933,739,192,5%,159,30,-0.6%,33,6.2,0%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
P.A. Trento,104,37894,4056,747,261,6%,213,39,6.5%,48,8.84,2.1%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Piemonte,1742,275221,30200,696,3346,11%,3070,71,6.4%,276,6.36,3.4%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Puglia,715,166273,39123,976,1701,4%,1512,38,3.7%,189,4.72,8.6%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Sardegna,74,42553,12835,787,203,2%,176,11,2.9%,27,1.66,0%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Sicilia,523,161330,14756,297,825,6%,718,14,3.9%,107,2.15,7%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Toscana,1106,174088,24566,660,1643,7%,1402,38,2.9%,241,6.47,2.1%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Umbria,66,48043,5987,680,481,8%,407,46,1.2%,74,8.41,-6.3%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Valle d'Aosta,36,8341,333,265,18,5%,15,12,7.1%,3,2.39,50%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Veneto,841,355155,35324,720,1327,4%,1141,23,3.1%,186,3.79,2.8%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30,2021-03-15
Abruzzo,212,60626,12372,947,762,6%,675,52,-1.5%,87,6.66,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Basilicata,166,17682,4151,745,179,4%,163,29,3.8%,16,2.87,-5.9%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Calabria,311,41709,7734,402,306,4%,277,14,7.4%,29,1.51,3.6%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Campania,2656,308101,98073,1695,1725,2%,1560,27,1.1%,165,2.85,2.5%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Emilia-Romagna,2184,304314,68992,1544,3894,6%,3516,79,1.5%,378,8.46,1.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Friuli Venezia Giulia,672,87217,14774,1220,607,4%,530,44,-0.4%,77,6.36,10%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Lazio,1497,258829,44294,755,2693,6%,2399,41,4.4%,294,5.01,0.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Liguria,343,83229,6118,396,635,10%,570,37,0.4%,65,4.21,1.6%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Lombardia,4235,673458,95776,948,7239,8%,6474,64,4.5%,765,7.57,5.1%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Marche,529,79119,10152,669,868,9%,735,48,1.8%,133,8.76,0.8%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Molise,18,11662,1493,494,109,7%,90,30,-10.9%,19,6.29,-5%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
P.A. Bolzano,175,56528,3786,712,187,5%,154,29,-3.1%,33,6.2,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
P.A. Trento,190,38084,3952,728,259,7%,207,38,-2.8%,52,9.58,8.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Piemonte,2074,277295,30784,709,3468,11%,3169,73,3.2%,299,6.89,8.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Puglia,1126,167399,39214,978,1750,4%,1554,39,2.8%,196,4.89,3.7%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Sardegna,79,42632,12816,786,201,2%,172,11,-2.3%,29,1.78,7.4%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Sicilia,598,161928,14776,297,838,6%,725,15,1%,113,2.27,5.6%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Toscana,1247,175335,24895,669,1669,7%,1430,38,2%,239,6.42,-0.8%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Umbria,159,48202,5905,671,480,8%,402,46,-1.2%,78,8.86,5.4%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Valle d'Aosta,24,8365,345,275,17,5%,14,11,-6.7%,3,2.39,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Veneto,1901,357056,35713,728,1468,4%,1282,26,12.4%,186,3.79,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09,2021-03-16
Abruzzo,304,60928,11678,894,756,6%,667,51,-1.2%,89,6.82,2.3%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Basilicata,126,17808,4185,751,173,4%,159,29,-2.5%,14,2.51,-12.5%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Calabria,216,41925,7794,405,311,4%,283,15,2.2%,28,1.45,-3.4%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Campania,2665,310766,98647,1705,1702,2%,1541,27,-1.2%,161,2.78,-2.4%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Emilia-Romagna,2026,306324,69615,1558,3923,6%,3542,79,0.7%,381,8.53,0.8%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Friuli Venezia Giulia,986,88203,15002,1238,614,4%,538,44,1.5%,76,6.27,-1.3%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Lazio,1728,260557,44279,755,2704,6%,2408,41,0.4%,296,5.05,0.7%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Liguria,321,83550,6167,400,637,10%,574,37,0.7%,63,4.08,-3.1%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Lombardia,4490,677948,95765,948,7422,8%,6641,66,2.6%,781,7.73,2.1%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Marche,856,79975,10117,666,880,9%,747,49,1.6%,133,8.76,0%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Molise,77,11739,1456,482,113,8%,96,32,6.7%,17,5.62,-10.5%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
P.A. Bolzano,158,56685,3714,698,174,5%,141,26,-8.4%,33,6.2,0%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
P.A. Trento,285,38369,3971,732,253,6%,199,37,-3.9%,54,9.95,3.8%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Piemonte,2374,279669,31394,723,3596,11%,3281,76,3.5%,315,7.26,5.4%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Puglia,1734,169133,39818,993,1810,5%,1592,40,2.4%,218,5.44,11.2%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Sardegna,92,42724,12819,786,192,1%,163,10,-5.2%,29,1.78,0%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Sicilia,782,162710,14965,301,850,6%,734,15,1.2%,116,2.33,2.7%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Toscana,1275,176610,24907,669,1694,7%,1453,39,1.6%,241,6.47,0.8%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Umbria,324,48526,5904,671,485,8%,406,46,1%,79,8.97,1.3%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Valle d'Aosta,49,8414,369,294,17,5%,15,12,7.1%,2,1.59,-33.3%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Veneto,2191,359247,36442,743,1528,4%,1337,27,4.3%,191,3.89,2.7%,Dati della Protezione Civile del 17 Marzo 2021 ore 18:19,2021-03-17
Abruzzo,462,61387,11102,850,756,7%,667,51,0%,89,6.82,0%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Basilicata,179,17987,4317,775,176,4%,164,29,3.1%,12,2.15,-14.3%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Calabria,404,42329,7986,415,327,4%,294,15,3.9%,33,1.71,17.9%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Campania,2223,312989,99559,1721,1715,2%,1562,27,1.4%,153,2.64,-5%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Emilia-Romagna,2531,308826,70438,1577,3936,6%,3551,79,0.3%,385,8.62,1%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Friuli Venezia Giulia,1058,89261,15526,1282,622,4%,545,45,1.3%,77,6.36,1.3%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Lazio,1963,262520,44919,766,2721,6%,2422,41,0.6%,299,5.1,1%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Liguria,324,83874,6012,390,631,10%,567,37,-1.2%,64,4.15,1.6%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Lombardia,5641,683589,99069,980,7530,8%,6744,67,1.6%,786,7.78,0.6%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Marche,820,80795,10143,668,891,9%,752,50,0.7%,139,9.15,4.5%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Molise,81,11820,1409,466,107,8%,93,31,-3.1%,14,4.63,-17.6%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
P.A. Bolzano,165,56848,3657,687,166,5%,135,25,-4.3%,31,5.83,-6.1%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
P.A. Trento,256,38625,3947,727,259,7%,204,38,2.5%,55,10.13,1.9%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Piemonte,2357,282026,32160,741,3594,11%,3279,76,-0.1%,315,7.26,0%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Puglia,2082,171215,40507,1011,1801,4%,1582,39,-0.6%,219,5.46,0.5%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Sardegna,121,42845,12813,786,198,2%,170,10,4.3%,28,1.72,-3.4%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Sicilia,789,163499,15461,311,848,5%,731,15,-0.4%,117,2.35,0.9%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Toscana,1513,178123,25338,681,1700,7%,1454,39,0.1%,246,6.61,2.1%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Umbria,168,48694,5811,660,480,8%,404,46,-0.5%,76,8.63,-3.8%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
Valle d'Aosta,37,8451,398,317,24,6%,22,18,46.7%,2,1.59,0%,Dati della Protezione Civile del 18 Marzo 2021 ore 18:33,2021-03-18
