Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes
Lombardia,6622,13684,864,1416,114,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Marche,744,1386,142,250,16,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Molise,49,221,15,39,0,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
P.A. Bolzano,76,478,16,100,0,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
P.A. Trento,183,594,51,90,15,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Piemonte,3837,5824,370,628,99,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Puglia,1896,3762,252,586,80,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Sardegna,257,1602,41,208,35,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Sicilia,974,3893,153,834,196,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Toscana,1614,5033,274,629,16,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Umbria,302,844,50,132,2,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Valle d'Aosta,52,227,13,30,6,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Veneto,1680,6000,282,1000,0,Dati della Protezione Civile del 04 Aprile 2021 ore 19:20,,,,,
Abruzzo,596,1495,70,215,0,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Basilicata,171,442,12,88,13,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Calabria,429,954,39,152,25,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Campania,1599,4382,159,620,36,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Emilia-Romagna,3149,6515,366,760,0,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Friuli Venezia Giulia,592,1277,86,175,0,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Lazio,3095,6421,396,943,193,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Liguria,683,1841,78,226,12,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Lombardia,6626,13686,858,1416,114,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Marche,764,1386,142,250,16,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Molise,51,221,15,39,0,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
P.A. Bolzano,83,482,17,100,0,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
P.A. Trento,183,594,53,90,15,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Piemonte,3851,5824,365,628,99,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Puglia,1910,3762,248,586,80,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Sardegna,278,1602,45,208,35,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Sicilia,1025,3894,158,834,196,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Toscana,1666,5033,282,629,16,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Umbria,303,844,47,132,2,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Valle d'Aosta,52,227,14,30,6,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Veneto,1679,6000,287,1000,0,Dati della Protezione Civile del 05 Aprile 2021 ore 19:13,,,,,
Abruzzo,603,1495,70,215,0,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Basilicata,174,442,13,88,13,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Calabria,439,934,37,152,25,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Campania,1603,4386,160,620,36,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Emilia-Romagna,3206,6515,367,760,0,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Friuli Venezia Giulia,604,1277,81,175,0,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Lazio,3240,6421,396,943,193,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Liguria,691,1840,80,226,12,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Lombardia,6643,13718,845,1416,114,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Marche,783,1386,141,247,19,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Molise,53,221,16,39,0,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
P.A. Bolzano,85,480,17,100,0,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
P.A. Trento,175,594,53,90,15,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Piemonte,3882,5824,370,628,99,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Puglia,1988,3823,252,595,80,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Sardegna,297,1602,47,208,35,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Sicilia,1082,3899,160,834,196,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Toscana,1712,5033,279,629,16,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Umbria,312,844,48,132,2,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Valle d'Aosta,55,227,15,30,6,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Veneto,1710,6000,296,1000,0,Dati della Protezione Civile del 06 Aprile 2021 ore 18:21,,,,,
Abruzzo,592,1495,72,215,0,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Basilicata,176,442,12,88,13,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Calabria,452,934,39,152,25,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Campania,1606,4389,149,620,36,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Emilia-Romagna,3160,6526,356,760,0,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Friuli Venezia Giulia,584,1277,79,175,0,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Lazio,3265,6421,382,943,193,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Liguria,672,1852,81,226,12,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Lombardia,6595,13667,834,1416,114,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Marche,758,1406,139,247,19,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Molise,55,221,15,39,0,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
P.A. Bolzano,80,465,15,100,0,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
P.A. Trento,166,594,48,90,15,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Piemonte,3889,5824,357,628,99,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Puglia,2029,3768,268,586,80,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Sardegna,294,1602,47,208,35,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Sicilia,1125,3895,157,834,196,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Toscana,1724,5033,275,632,17,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Umbria,315,844,42,132,2,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Valle d'Aosta,59,227,13,30,6,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Veneto,1720,6000,303,1000,0,Dati della Protezione Civile del 07 Aprile 2021 ore 18:25,,,,,
Abruzzo,585,1495,71,215,0,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Basilicata,169,442,10,88,13,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Calabria,448,934,38,152,25,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Campania,1605,4388,148,620,36,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Emilia-Romagna,3051,6526,352,760,0,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Friuli Venezia Giulia,554,1277,77,175,0,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Lazio,3228,6421,382,943,193,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Liguria,676,1852,79,226,12,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Lombardia,6501,13585,830,1416,114,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Marche,755,1406,138,247,19,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Molise,54,221,14,39,0,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
P.A. Bolzano,74,465,17,100,0,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
P.A. Trento,157,584,46,90,15,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Piemonte,3800,5824,346,628,99,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Puglia,2020,3768,256,586,80,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Sardegna,302,1602,49,208,35,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Sicilia,1119,3898,164,834,196,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Toscana,1707,5033,285,629,17,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Umbria,294,844,44,132,2,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Valle d'Aosta,59,227,12,30,6,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Veneto,1693,6000,305,1000,0,Dati della Protezione Civile del 08 Aprile 2021 ore 18:34,,,,,
Abruzzo,571,1495,68,215,0,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Basilicata,169,456,10,88,13,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Calabria,465,944,39,152,25,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Campania,1558,4320,148,620,36,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Emilia-Romagna,2917,6538,343,760,0,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Friuli Venezia Giulia,529,1277,77,175,0,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Lazio,3173,6421,368,943,193,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Liguria,645,1854,74,226,12,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Lombardia,6252,13498,828,1416,114,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Marche,746,1406,134,247,19,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Molise,54,221,13,39,0,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
P.A. Bolzano,72,465,17,100,0,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
P.A. Trento,146,584,43,90,15,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Piemonte,3706,5824,329,628,99,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Puglia,1980,3768,260,586,80,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Sardegna,321,1602,50,208,35,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Sicilia,1149,3894,168,834,196,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Toscana,1704,5033,284,630,15,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Umbria,286,844,43,132,2,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Valle d'Aosta,66,227,12,30,6,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Veneto,1637,6000,295,1000,0,Dati della Protezione Civile del 09 Aprile 2021 ore 18:35,,,,,
Abruzzo,557,1495,67,215,0,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Basilicata,172,456,10,88,13,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Calabria,472,948,38,152,25,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Campania,1555,4338,141,620,36,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Emilia-Romagna,2805,6538,334,760,0,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Friuli Venezia Giulia,516,1277,75,175,0,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Lazio,3118,6421,386,943,193,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Liguria,655,1854,76,226,12,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Lombardia,6059,13396,824,1416,114,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Marche,725,1406,132,247,19,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Molise,53,221,14,39,0,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
P.A. Bolzano,76,465,16,100,0,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
P.A. Trento,138,584,43,90,15,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Piemonte,3633,5824,324,628,99,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Puglia,1978,3768,252,586,80,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Sardegna,323,1602,55,208,35,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Sicilia,1152,3891,164,835,196,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Toscana,1688,5033,286,631,13,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Umbria,285,844,43,132,2,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Valle d'Aosta,65,227,12,30,6,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Veneto,1629,6000,296,1000,0,Dati della Protezione Civile del 10 Aprile 2021 ore 19:23,,,,,
Abruzzo,557,1495,65,215,0,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Basilicata,179,456,12,88,13,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Calabria,473,948,38,152,25,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Campania,1569,4338,145,620,36,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Emilia-Romagna,2711,6538,330,760,0,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Friuli Venezia Giulia,519,1277,75,175,0,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Lazio,3067,6421,393,943,193,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Liguria,657,1854,80,226,12,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Lombardia,5896,13396,814,1416,114,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Marche,728,1406,129,247,19,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Molise,49,221,15,39,0,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
P.A. Bolzano,76,465,15,100,0,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
P.A. Trento,146,584,41,90,15,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Piemonte,3606,5824,320,628,99,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Puglia,1989,3768,260,586,80,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Sardegna,335,1602,56,208,35,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Sicilia,1148,3891,171,835,196,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Toscana,1668,5033,284,631,13,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Umbria,272,844,41,132,2,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Valle d'Aosta,64,227,12,30,6,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Veneto,1542,6000,289,1000,0,Dati della Protezione Civile del 11 Aprile 2021 ore 17:45,,,,,
Abruzzo,569,1495,64,215,0,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Basilicata,177,456,13,88,13,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Calabria,471,948,40,152,25,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Campania,1594,4338,136,620,36,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Emilia-Romagna,2756,6538,332,760,0,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Friuli Venezia Giulia,523,1277,81,175,0,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Lazio,3050,6421,396,943,193,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Liguria,662,1854,84,226,12,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Lombardia,5763,13396,811,1416,114,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Marche,733,1406,129,247,19,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Molise,47,221,16,39,0,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
P.A. Bolzano,79,465,14,100,0,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
P.A. Trento,151,584,42,90,15,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Piemonte,3633,5824,317,628,99,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Puglia,1983,3768,265,586,80,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Sardegna,341,1602,55,208,35,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Sicilia,1191,3891,174,835,196,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Toscana,1698,5033,286,631,13,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Umbria,276,844,41,132,2,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Valle d'Aosta,64,227,11,30,6,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Veneto,1568,6000,286,1000,0,Dati della Protezione Civile del 12 Aprile 2021 ore 18:53,,,,,
Abruzzo,553,1495,59,215,0,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Basilicata,169,452,12,88,13,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Calabria,471,951,43,152,25,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Campania,1592,4320,133,620,36,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Emilia-Romagna,2654,6538,331,760,0,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Friuli Venezia Giulia,493,1277,75,175,0,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Lazio,3064,6421,392,943,193,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Liguria,658,1854,87,226,12,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Lombardia,5727,13132,787,1416,114,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Marche,713,1408,127,247,19,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Molise,46,221,15,39,0,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
P.A. Bolzano,74,465,13,100,0,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
P.A. Trento,147,584,37,90,15,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Piemonte,3526,5824,316,628,99,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Puglia,1966,3768,262,586,80,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Sardegna,340,1602,56,208,35,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Sicilia,1214,3894,176,835,196,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Toscana,1664,5033,283,631,13,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Umbria,279,844,41,132,2,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Valle d'Aosta,68,227,12,30,6,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Veneto,1534,6000,269,1000,0,Dati della Protezione Civile del 13 Aprile 2021 ore 17:50,,,,,
Abruzzo,557,1495,58,215,0,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Basilicata,169,448,12,88,13,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Calabria,476,963,44,152,25,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Campania,1585,4320,127,620,36,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Emilia-Romagna,2590,6538,317,760,0,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Friuli Venezia Giulia,471,1277,72,175,0,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Lazio,2977,6421,398,943,193,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Liguria,633,1854,84,226,12,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Lombardia,5589,12998,781,1416,114,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Marche,671,1410,116,247,19,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Molise,44,221,17,39,0,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
P.A. Bolzano,74,465,12,100,0,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
P.A. Trento,135,584,37,90,15,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Piemonte,3430,5824,311,628,99,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Puglia,1935,3768,270,586,80,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Sardegna,350,1602,57,208,35,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Sicilia,1230,3894,185,835,196,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Toscana,1664,5033,282,632,13,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Umbria,262,844,38,132,2,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Valle d'Aosta,66,227,12,30,6,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Veneto,1461,6000,260,1000,0,Dati della Protezione Civile del 14 Aprile 2021 ore 18:32,,,,,
Abruzzo,537,1495,56,215,0,Dati della Protezione Civile del 15 Aprile 2021 ore 18:38,,,,,
Basilicata,167,448,13,88,13,Dati della Protezione Civile del 15 Aprile 2021 ore 18:38,,,,,
Calabria,474,963,48,152,25,Dati della Protezione Civile del 15 Aprile 2021 ore 18:38,,,,,
Campania,1557,4320,136,620,36,Dati della Protezione Civile del 15 Aprile 2021 ore 18:38,,,,,
Emilia-Romagna,2464,6538,312,760,0,Dati della Protezione Civile del 15 Aprile 2021 ore 18:38,,,,,
