codice_regione,data,codice_nuts_2,denominazione_regione,soglia250
13,2020-03-17T17:00:00,ITF1,Abruzzo,15
17,2020-03-17T17:00:00,ITF5,Basilicata,2
18,2020-03-17T17:00:00,ITF6,Calabria,5
15,2020-03-17T17:00:00,ITF3,Campania,6
08,2020-03-17T17:00:00,ITH5,Emilia-Romagna,54
06,2020-03-17T17:00:00,ITH4,Friuli Venezia Giulia,23
12,2020-03-17T17:00:00,ITI4,Lazio,9
07,2020-03-17T17:00:00,ITC3,Liguria,42
03,2020-03-17T17:00:00,ITC4,Lombardia,104
11,2020-03-17T17:00:00,ITI3,Marche,65
14,2020-03-17T17:00:00,ITF2,Molise,3
21,2020-03-17T17:00:00,ITH1,P.A. Bolzano,47
22,2020-03-17T17:00:00,ITH2,P.A. Trento,61
01,2020-03-17T17:00:00,ITC1,Piemonte,33
16,2020-03-17T17:00:00,ITF4,Puglia,7
20,2020-03-17T17:00:00,ITG2,Sardegna,6
19,2020-03-17T17:00:00,ITG1,Sicilia,4
09,2020-03-17T17:00:00,ITI1,Toscana,21
10,2020-03-17T17:00:00,ITI2,Umbria,18
02,2020-03-17T17:00:00,ITC2,Valle d'Aosta,95
05,2020-03-17T17:00:00,ITH3,Veneto,38
13,2020-03-18T17:00:00,ITF1,Abruzzo,17
17,2020-03-18T17:00:00,ITF5,Basilicata,3
18,2020-03-18T17:00:00,ITF6,Calabria,6
15,2020-03-18T17:00:00,ITF3,Campania,5
