data,codice_regione,denominazione_regione,mese,terapia_intensiva_mm,ingressi_terapia_intensiva_mm
2021-01-16T17:00:00,14,Molise,1,7.428571428571429,0.5714285714285714
2021-01-16T17:00:00,21,P.A. Bolzano,1,24.0,1.0
2021-01-16T17:00:00,22,P.A. Trento,1,44.0,2.857142857142857
2021-01-16T17:00:00,1,Piemonte,1,170.42857142857142,8.0
2021-01-16T17:00:00,16,Puglia,1,161.0,10.714285714285714
2021-01-16T17:00:00,20,Sardegna,1,48.0,2.857142857142857
2021-01-16T17:00:00,19,Sicilia,1,208.57142857142858,15.428571428571429
2021-01-16T17:00:00,9,Toscana,1,135.28571428571428,7.0
2021-01-16T17:00:00,10,Umbria,1,51.0,3.857142857142857
2021-01-16T17:00:00,2,Valle d'Aosta,1,2.0,0.5714285714285714
2021-01-16T17:00:00,5,Veneto,1,343.0,33.285714285714285
2021-01-17T17:00:00,13,Abruzzo,1,39.42857142857143,2.7142857142857144
2021-01-17T17:00:00,17,Basilicata,1,4.142857142857143,0.42857142857142855
2021-01-17T17:00:00,18,Calabria,1,25.571428571428573,2.142857142857143
2021-01-17T17:00:00,15,Campania,1,101.71428571428571,9.857142857142858
2021-01-17T17:00:00,8,Emilia-Romagna,1,233.28571428571428,13.0
2021-01-17T17:00:00,6,Friuli Venezia Giulia,1,67.0,6.285714285714286
2021-01-17T17:00:00,12,Lazio,1,305.14285714285717,14.428571428571429
2021-01-17T17:00:00,7,Liguria,1,62.857142857142854,3.4285714285714284
2021-01-17T17:00:00,3,Lombardia,1,461.42857142857144,22.714285714285715
2021-01-17T17:00:00,11,Marche,1,79.85714285714286,6.142857142857143
2021-01-17T17:00:00,14,Molise,1,7.714285714285714,0.7142857142857143
2021-01-17T17:00:00,21,P.A. Bolzano,1,24.285714285714285,1.4285714285714286
2021-01-17T17:00:00,22,P.A. Trento,1,44.142857142857146,3.2857142857142856
2021-01-17T17:00:00,1,Piemonte,1,168.71428571428572,7.714285714285714
2021-01-17T17:00:00,16,Puglia,1,157.71428571428572,10.285714285714286
2021-01-17T17:00:00,20,Sardegna,1,48.142857142857146,2.857142857142857
2021-01-17T17:00:00,19,Sicilia,1,208.57142857142858,16.0
2021-01-17T17:00:00,9,Toscana,1,132.14285714285714,5.857142857142857
2021-01-17T17:00:00,10,Umbria,1,50.857142857142854,3.0
2021-01-17T17:00:00,2,Valle d'Aosta,1,2.2857142857142856,0.5714285714285714
2021-01-17T17:00:00,5,Veneto,1,340.57142857142856,30.428571428571427
2021-01-18T17:00:00,13,Abruzzo,1,40.142857142857146,3.5714285714285716
2021-01-18T17:00:00,17,Basilicata,1,4.142857142857143,0.42857142857142855
2021-01-18T17:00:00,18,Calabria,1,25.571428571428573,1.8571428571428572
2021-01-18T17:00:00,15,Campania,1,99.57142857142857,8.142857142857142
2021-01-18T17:00:00,8,Emilia-Romagna,1,233.28571428571428,13.285714285714286
2021-01-18T17:00:00,6,Friuli Venezia Giulia,1,66.42857142857143,5.571428571428571
2021-01-18T17:00:00,12,Lazio,1,304.2857142857143,15.142857142857142
2021-01-18T17:00:00,7,Liguria,1,62.857142857142854,3.7142857142857144
2021-01-18T17:00:00,3,Lombardia,1,459.57142857142856,20.571428571428573
2021-01-18T17:00:00,11,Marche,1,80.42857142857143,5.285714285714286
2021-01-18T17:00:00,14,Molise,1,8.142857142857142,1.0
2021-01-18T17:00:00,21,P.A. Bolzano,1,25.142857142857142,2.0
2021-01-18T17:00:00,22,P.A. Trento,1,44.285714285714285,3.0
2021-01-18T17:00:00,1,Piemonte,1,167.14285714285714,7.857142857142857
2021-01-18T17:00:00,16,Puglia,1,154.0,9.857142857142858
2021-01-18T17:00:00,20,Sardegna,1,48.57142857142857,3.0
2021-01-18T17:00:00,19,Sicilia,1,208.14285714285714,16.142857142857142
