DATA_DECESSO,DECESSI,iss_date
13/07/2021,8,08/08/2022
14/07/2021,14,08/08/2022
15/07/2021,9,08/08/2022
16/07/2021,7,08/08/2022
17/07/2021,7,08/08/2022
18/07/2021,7,08/08/2022
19/07/2021,13,08/08/2022
20/07/2021,10,08/08/2022
21/07/2021,12,08/08/2022
22/07/2021,13,08/08/2022
23/07/2021,7,08/08/2022
24/07/2021,9,08/08/2022
25/07/2021,8,08/08/2022
26/07/2021,13,08/08/2022
27/07/2021,16,08/08/2022
28/07/2021,6,08/08/2022
29/07/2021,15,08/08/2022
30/07/2021,8,08/08/2022
31/07/2021,16,08/08/2022
01/08/2021,15,08/08/2022
02/08/2021,21,08/08/2022
03/08/2021,19,08/08/2022
04/08/2021,24,08/08/2022
05/08/2021,20,08/08/2022
06/08/2021,17,08/08/2022
07/08/2021,23,08/08/2022
08/08/2021,16,08/08/2022
09/08/2021,24,08/08/2022
10/08/2021,23,08/08/2022
11/08/2021,39,08/08/2022
12/08/2021,33,08/08/2022
13/08/2021,39,08/08/2022
14/08/2021,41,08/08/2022
15/08/2021,33,08/08/2022
16/08/2021,40,08/08/2022
17/08/2021,62,08/08/2022
18/08/2021,42,08/08/2022
19/08/2021,46,08/08/2022
20/08/2021,43,08/08/2022
21/08/2021,28,08/08/2022
22/08/2021,49,08/08/2022
23/08/2021,43,08/08/2022
24/08/2021,49,08/08/2022
25/08/2021,55,08/08/2022
26/08/2021,39,08/08/2022
27/08/2021,60,08/08/2022
28/08/2021,50,08/08/2022
29/08/2021,65,08/08/2022
30/08/2021,50,08/08/2022
31/08/2021,62,08/08/2022
01/09/2021,52,08/08/2022
02/09/2021,49,08/08/2022
03/09/2021,67,08/08/2022
04/09/2021,53,08/08/2022
05/09/2021,65,08/08/2022
06/09/2021,58,08/08/2022
07/09/2021,52,08/08/2022
08/09/2021,59,08/08/2022
09/09/2021,58,08/08/2022
10/09/2021,44,08/08/2022
11/09/2021,61,08/08/2022
12/09/2021,59,08/08/2022
13/09/2021,52,08/08/2022
14/09/2021,65,08/08/2022
15/09/2021,64,08/08/2022
16/09/2021,52,08/08/2022
17/09/2021,45,08/08/2022
18/09/2021,57,08/08/2022
19/09/2021,40,08/08/2022
20/09/2021,56,08/08/2022
21/09/2021,51,08/08/2022
22/09/2021,50,08/08/2022
23/09/2021,55,08/08/2022
24/09/2021,39,08/08/2022
25/09/2021,42,08/08/2022
26/09/2021,38,08/08/2022
27/09/2021,45,08/08/2022
28/09/2021,42,08/08/2022
29/09/2021,45,08/08/2022
30/09/2021,45,08/08/2022
01/10/2021,32,08/08/2022
02/10/2021,39,08/08/2022
03/10/2021,34,08/08/2022
04/10/2021,30,08/08/2022
05/10/2021,36,08/08/2022
06/10/2021,33,08/08/2022
07/10/2021,29,08/08/2022
08/10/2021,39,08/08/2022
09/10/2021,32,08/08/2022
10/10/2021,32,08/08/2022
11/10/2021,34,08/08/2022
12/10/2021,34,08/08/2022
13/10/2021,33,08/08/2022
14/10/2021,28,08/08/2022
15/10/2021,16,08/08/2022
16/10/2021,34,08/08/2022
17/10/2021,40,08/08/2022
18/10/2021,37,08/08/2022
19/10/2021,25,08/08/2022
20/10/2021,29,08/08/2022
21/10/2021,34,08/08/2022
22/10/2021,41,08/08/2022
23/10/2021,19,08/08/2022
24/10/2021,39,08/08/2022
25/10/2021,37,08/08/2022
26/10/2021,44,08/08/2022
27/10/2021,36,08/08/2022
28/10/2021,29,08/08/2022
29/10/2021,47,08/08/2022
30/10/2021,31,08/08/2022
31/10/2021,43,08/08/2022
01/11/2021,32,08/08/2022
02/11/2021,52,08/08/2022
03/11/2021,57,08/08/2022
04/11/2021,35,08/08/2022
05/11/2021,30,08/08/2022
06/11/2021,42,08/08/2022
07/11/2021,49,08/08/2022
08/11/2021,43,08/08/2022
09/11/2021,54,08/08/2022
10/11/2021,57,08/08/2022
11/11/2021,64,08/08/2022
12/11/2021,52,08/08/2022
13/11/2021,50,08/08/2022
14/11/2021,50,08/08/2022
15/11/2021,52,08/08/2022
16/11/2021,73,08/08/2022
17/11/2021,63,08/08/2022
18/11/2021,51,08/08/2022
19/11/2021,54,08/08/2022
20/11/2021,74,08/08/2022
21/11/2021,66,08/08/2022
22/11/2021,65,08/08/2022
23/11/2021,83,08/08/2022
24/11/2021,61,08/08/2022
25/11/2021,65,08/08/2022
26/11/2021,89,08/08/2022
27/11/2021,78,08/08/2022
28/11/2021,71,08/08/2022
29/11/2021,87,08/08/2022
30/11/2021,72,08/08/2022
01/12/2021,80,08/08/2022
02/12/2021,64,08/08/2022
03/12/2021,86,08/08/2022
04/12/2021,83,08/08/2022
05/12/2021,86,08/08/2022
06/12/2021,98,08/08/2022
07/12/2021,95,08/08/2022
08/12/2021,103,08/08/2022
09/12/2021,102,08/08/2022
10/12/2021,115,08/08/2022
11/12/2021,103,08/08/2022
12/12/2021,118,08/08/2022
13/12/2021,100,08/08/2022
14/12/2021,122,08/08/2022
15/12/2021,126,08/08/2022
16/12/2021,125,08/08/2022
17/12/2021,132,08/08/2022
18/12/2021,129,08/08/2022
19/12/2021,114,08/08/2022
20/12/2021,142,08/08/2022
21/12/2021,144,08/08/2022
22/12/2021,154,08/08/2022
23/12/2021,136,08/08/2022
24/12/2021,149,08/08/2022
25/12/2021,146,08/08/2022
26/12/2021,148,08/08/2022
27/12/2021,173,08/08/2022
28/12/2021,142,08/08/2022
29/12/2021,145,08/08/2022
30/12/2021,150,08/08/2022
31/12/2021,157,08/08/2022
01/01/2022,178,08/08/2022
02/01/2022,168,08/08/2022
03/01/2022,207,08/08/2022
04/01/2022,231,08/08/2022
05/01/2022,196,08/08/2022
06/01/2022,214,08/08/2022
07/01/2022,205,08/08/2022
08/01/2022,236,08/08/2022
09/01/2022,243,08/08/2022
10/01/2022,249,08/08/2022
11/01/2022,303,08/08/2022
12/01/2022,279,08/08/2022
13/01/2022,295,08/08/2022
14/01/2022,320,08/08/2022
15/01/2022,286,08/08/2022
16/01/2022,308,08/08/2022
17/01/2022,386,08/08/2022
18/01/2022,369,08/08/2022
19/01/2022,322,08/08/2022
20/01/2022,366,08/08/2022
21/01/2022,358,08/08/2022
22/01/2022,343,08/08/2022
23/01/2022,321,08/08/2022
24/01/2022,422,08/08/2022
25/01/2022,355,08/08/2022
26/01/2022,360,08/08/2022
27/01/2022,368,08/08/2022
28/01/2022,374,08/08/2022
29/01/2022,345,08/08/2022
30/01/2022,341,08/08/2022
31/01/2022,378,08/08/2022
01/02/2022,383,08/08/2022
02/02/2022,350,08/08/2022
03/02/2022,360,08/08/2022
04/02/2022,334,08/08/2022
