DATARICOVERO1,RICOVERI,iss_date
14/06/2021,111,12/01/2023
14/06/2022,465,12/01/2023
14/07/2020,79,12/01/2023
14/07/2021,95,12/01/2023
14/07/2022,1005,12/01/2023
14/08/2020,87,12/01/2023
14/08/2021,327,12/01/2023
14/08/2022,317,12/01/2023
14/09/2020,243,12/01/2023
14/09/2021,272,12/01/2023
14/09/2022,301,12/01/2023
14/10/2020,853,12/01/2023
14/10/2021,142,12/01/2023
14/10/2022,658,12/01/2023
14/11/2020,2327,12/01/2023
14/11/2021,302,12/01/2023
14/11/2022,733,12/01/2023
14/12/2020,1358,12/01/2023
14/12/2021,696,12/01/2023
14/12/2022,690,12/01/2023
15/01/2021,1251,12/01/2023
15/01/2022,1572,12/01/2023
15/02/2021,976,12/01/2023
15/02/2022,875,12/01/2023
15/03/2020,1910,12/01/2023
15/03/2021,2040,12/01/2023
15/03/2022,772,12/01/2023
15/04/2020,740,12/01/2023
15/04/2021,1129,12/01/2023
15/04/2022,719,12/01/2023
15/05/2020,230,12/01/2023
15/05/2021,417,12/01/2023
15/05/2022,364,12/01/2023
15/06/2020,103,12/01/2023
15/06/2021,127,12/01/2023
15/06/2022,474,12/01/2023
15/07/2020,78,12/01/2023
15/07/2021,106,12/01/2023
15/07/2022,946,12/01/2023
15/08/2020,67,12/01/2023
15/08/2021,302,12/01/2023
15/08/2022,346,12/01/2023
15/09/2020,252,12/01/2023
15/09/2021,249,12/01/2023
15/09/2022,283,12/01/2023
15/10/2020,956,12/01/2023
15/10/2021,172,12/01/2023
15/10/2022,525,12/01/2023
15/11/2020,2025,12/01/2023
15/11/2021,392,12/01/2023
15/11/2022,664,12/01/2023
15/12/2020,1275,12/01/2023
15/12/2021,687,12/01/2023
15/12/2022,648,12/01/2023
16/01/2021,1201,12/01/2023
16/01/2022,1269,12/01/2023
16/02/2021,950,12/01/2023
16/02/2022,791,12/01/2023
16/03/2020,2495,12/01/2023
16/03/2021,2061,12/01/2023
16/03/2022,760,12/01/2023
16/04/2020,738,12/01/2023
16/04/2021,1045,12/01/2023
16/04/2022,693,12/01/2023
16/05/2020,142,12/01/2023
16/05/2021,362,12/01/2023
16/05/2022,493,12/01/2023
16/06/2020,70,12/01/2023
16/06/2021,109,12/01/2023
16/06/2022,472,12/01/2023
16/07/2020,62,12/01/2023
16/07/2021,119,12/01/2023
16/07/2022,830,12/01/2023
16/08/2020,70,12/01/2023
16/08/2021,406,12/01/2023
16/08/2022,470,12/01/2023
16/09/2020,241,12/01/2023
16/09/2021,281,12/01/2023
16/09/2022,302,12/01/2023
16/10/2020,979,12/01/2023
16/10/2021,158,12/01/2023
16/10/2022,447,12/01/2023
16/11/2020,2495,12/01/2023
16/11/2021,421,12/01/2023
16/11/2022,659,12/01/2023
16/12/2020,1258,12/01/2023
16/12/2021,706,12/01/2023
16/12/2022,661,12/01/2023
17/01/2021,927,12/01/2023
17/01/2022,1783,12/01/2023
17/02/2021,1026,12/01/2023
17/02/2022,801,12/01/2023
17/03/2020,2670,12/01/2023
17/03/2021,1929,12/01/2023
17/03/2022,769,12/01/2023
17/04/2020,750,12/01/2023
17/04/2021,1006,12/01/2023
17/04/2022,538,12/01/2023
17/05/2020,131,12/01/2023
17/05/2021,471,12/01/2023
17/05/2022,488,12/01/2023
17/06/2020,110,12/01/2023
17/06/2021,92,12/01/2023
17/06/2022,469,12/01/2023
17/07/2020,105,12/01/2023
17/07/2021,120,12/01/2023
17/07/2022,689,12/01/2023
17/08/2020,113,12/01/2023
17/08/2021,345,12/01/2023
17/08/2022,471,12/01/2023
17/09/2020,251,12/01/2023
17/09/2021,263,12/01/2023
17/09/2022,259,12/01/2023
17/10/2020,1114,12/01/2023
17/10/2021,141,12/01/2023
17/10/2022,668,12/01/2023
17/11/2020,2471,12/01/2023
17/11/2021,398,12/01/2023
17/11/2022,648,12/01/2023
17/12/2020,1297,12/01/2023
17/12/2021,750,12/01/2023
17/12/2022,558,12/01/2023
18/01/2021,1162,12/01/2023
18/01/2022,1828,12/01/2023
18/02/2021,1053,12/01/2023
18/02/2022,782,12/01/2023
18/03/2020,2710,12/01/2023
18/03/2021,1819,12/01/2023
18/03/2022,718,12/01/2023
18/04/2020,583,12/01/2023
18/04/2021,1005,12/01/2023
18/04/2022,596,12/01/2023
18/05/2020,188,12/01/2023
18/05/2021,386,12/01/2023
18/05/2022,482,12/01/2023
18/06/2020,86,12/01/2023
18/06/2021,94,12/01/2023
18/06/2022,459,12/01/2023
18/07/2020,57,12/01/2023
18/07/2021,116,12/01/2023
18/07/2022,1008,12/01/2023
18/08/2020,130,12/01/2023
18/08/2021,393,12/01/2023
18/08/2022,402,12/01/2023
18/09/2020,247,12/01/2023
18/09/2021,232,12/01/2023
18/09/2022,191,12/01/2023
18/10/2020,1038,12/01/2023
18/10/2021,194,12/01/2023
18/10/2022,674,12/01/2023
18/11/2020,2321,12/01/2023
18/11/2021,389,12/01/2023
18/11/2022,647,12/01/2023
18/12/2020,1268,12/01/2023
18/12/2021,673,12/01/2023
18/12/2022,453,12/01/2023
19/01/2021,1080,12/01/2023
19/01/2022,1672,12/01/2023
19/02/2021,1041,12/01/2023
19/02/2022,707,12/01/2023
19/03/2020,2787,12/01/2023
19/03/2021,1882,12/01/2023
19/03/2022,671,12/01/2023
19/04/2020,480,12/01/2023
19/04/2021,1104,12/01/2023
19/04/2022,822,12/01/2023
19/05/2020,170,12/01/2023
19/05/2021,375,12/01/2023
19/05/2022,395,12/01/2023
19/06/2020,107,12/01/2023
19/06/2021,71,12/01/2023
19/06/2022,422,12/01/2023
19/07/2020,40,12/01/2023
19/07/2021,166,12/01/2023
19/07/2022,972,12/01/2023
19/08/2020,148,12/01/2023
19/08/2021,362,12/01/2023
19/08/2022,410,12/01/2023
19/09/2020,188,12/01/2023
19/09/2021,209,12/01/2023
19/09/2022,308,12/01/2023
19/10/2020,1316,12/01/2023
19/10/2021,216,12/01/2023
19/10/2022,583,12/01/2023
19/11/2020,2314,12/01/2023
19/11/2021,419,12/01/2023
19/11/2022,579,12/01/2023
19/12/2020,1212,12/01/2023
19/12/2021,649,12/01/2023
19/12/2022,694,12/01/2023
20/01/2021,1081,12/01/2023
20/01/2022,1637,12/01/2023
20/02/2020,91,12/01/2023
20/02/2021,999,12/01/2023
20/02/2022,590,12/01/2023
20/03/2020,2862,12/01/2023
20/03/2021,1817,12/01/2023
20/03/2022,592,12/01/2023
20/04/2020,675,12/01/2023
20/04/2021,1112,12/01/2023
20/04/2022,846,12/01/2023
20/05/2020,160,12/01/2023
20/05/2021,372,12/01/2023
20/05/2022,395,12/01/2023
20/06/2020,40,12/01/2023
20/06/2021,67,12/01/2023
20/06/2022,575,12/01/2023
20/07/2020,106,12/01/2023
20/07/2021,160,12/01/2023
20/07/2022,993,12/01/2023
20/08/2020,94,12/01/2023
20/08/2021,348,12/01/2023
20/08/2022,365,12/01/2023
20/09/2020,167,12/01/2023
20/09/2021,231,12/01/2023
20/09/2022,324,12/01/2023
20/10/2020,1431,12/01/2023
20/10/2021,194,12/01/2023
20/10/2022,582,12/01/2023
20/11/2020,2218,12/01/2023
20/11/2021,379,12/01/2023
20/11/2022,481,12/01/2023
20/12/2020,1049,12/01/2023
20/12/2021,801,12/01/2023
20/12/2022,660,12/01/2023
21/01/2021,1143,12/01/2023
21/01/2022,1537,12/01/2023
21/02/2020,123,12/01/2023
21/02/2021,931,12/01/2023
21/02/2022,813,12/01/2023
21/03/2020,2550,12/01/2023
21/03/2021,1646,12/01/2023
21/03/2022,826,12/01/2023
21/04/2020,628,12/01/2023
21/04/2021,1087,12/01/2023
21/04/2022,724,12/01/2023
21/05/2020,140,12/01/2023
21/05/2021,336,12/01/2023
21/05/2022,325,12/01/2023
21/06/2020,52,12/01/2023
21/06/2021,78,12/01/2023
21/06/2022,602,12/01/2023
21/07/2020,89,12/01/2023
21/07/2021,176,12/01/2023
21/07/2022,943,12/01/2023
21/08/2020,101,12/01/2023
21/08/2021,371,12/01/2023
21/08/2022,303,12/01/2023
21/09/2020,275,12/01/2023
21/09/2021,234,12/01/2023
21/09/2022,294,12/01/2023
21/10/2020,1439,12/01/2023
21/10/2021,196,12/01/2023
21/10/2022,614,12/01/2023
21/11/2020,1828,12/01/2023
21/11/2021,360,12/01/2023
21/11/2022,688,12/01/2023
21/12/2020,1258,12/01/2023
21/12/2021,850,12/01/2023
21/12/2022,595,12/01/2023
22/01/2021,1067,12/01/2023
22/01/2022,1449,12/01/2023
22/02/2020,108,12/01/2023
22/02/2021,1293,12/01/2023
22/02/2022,710,12/01/2023
22/03/2020,2197,12/01/2023
22/03/2021,1923,12/01/2023
22/03/2022,784,12/01/2023
22/04/2020,633,12/01/2023
22/04/2021,993,12/01/2023
22/04/2022,724,12/01/2023
22/05/2020,152,12/01/2023
22/05/2021,270,12/01/2023
22/05/2022,302,12/01/2023
22/06/2020,117,12/01/2023
22/06/2021,103,12/01/2023
22/06/2022,570,12/01/2023
22/07/2020,83,12/01/2023
22/07/2021,197,12/01/2023
22/07/2022,900,12/01/2023
22/08/2020,126,12/01/2023
22/08/2021,288,12/01/2023
22/08/2022,404,12/01/2023
22/09/2020,271,12/01/2023
22/09/2021,208,12/01/2023
22/09/2022,306,12/01/2023
22/10/2020,1532,12/01/2023
22/10/2021,241,12/01/2023
22/10/2022,478,12/01/2023
22/11/2020,1608,12/01/2023
22/11/2021,459,12/01/2023
22/11/2022,775,12/01/2023
22/12/2020,1292,12/01/2023
22/12/2021,858,12/01/2023
22/12/2022,582,12/01/2023
23/01/2021,1000,12/01/2023
23/01/2022,1199,12/01/2023
23/02/2020,151,12/01/2023
23/02/2021,1281,12/01/2023
23/02/2022,716,12/01/2023
23/03/2020,2719,12/01/2023
23/03/2021,1851,12/01/2023
23/03/2022,814,12/01/2023
23/04/2020,612,12/01/2023
23/04/2021,1042,12/01/2023
23/04/2022,620,12/01/2023
23/05/2020,103,12/01/2023
23/05/2021,265,12/01/2023
23/05/2022,403,12/01/2023
23/06/2020,85,12/01/2023
23/06/2021,74,12/01/2023
23/06/2022,638,12/01/2023
23/07/2020,73,12/01/2023
23/07/2021,187,12/01/2023
23/07/2022,735,12/01/2023
23/08/2020,96,12/01/2023
23/08/2021,377,12/01/2023
23/08/2022,433,12/01/2023
23/09/2020,270,12/01/2023
23/09/2021,244,12/01/2023
23/09/2022,315,12/01/2023
23/10/2020,1744,12/01/2023
23/10/2021,186,12/01/2023
23/10/2022,417,12/01/2023
23/11/2020,2025,12/01/2023
23/11/2021,461,12/01/2023
23/11/2022,707,12/01/2023
23/12/2020,1240,12/01/2023
23/12/2021,845,12/01/2023
23/12/2022,604,12/01/2023
24/01/2021,863,12/01/2023
24/01/2022,1617,12/01/2023
24/02/2020,192,12/01/2023
24/02/2021,1206,12/01/2023
24/02/2022,616,12/01/2023
24/03/2020,2627,12/01/2023
24/03/2021,1803,12/01/2023
24/03/2022,741,12/01/2023
24/04/2020,575,12/01/2023
24/04/2021,943,12/01/2023
24/04/2022,555,12/01/2023
24/05/2020,104,12/01/2023
24/05/2021,301,12/01/2023
24/05/2022,382,12/01/2023
24/06/2020,105,12/01/2023
24/06/2021,88,12/01/2023
24/06/2022,602,12/01/2023
24/07/2020,77,12/01/2023
24/07/2021,187,12/01/2023
24/07/2022,627,12/01/2023
24/08/2020,138,12/01/2023
24/08/2021,380,12/01/2023
24/08/2022,387,12/01/2023
24/09/2020,259,12/01/2023
24/09/2021,199,12/01/2023
24/09/2022,301,12/01/2023
24/10/2020,1581,12/01/2023
24/10/2021,189,12/01/2023
24/10/2022,643,12/01/2023
24/11/2020,1956,12/01/2023
24/11/2021,428,12/01/2023
24/11/2022,670,12/01/2023
24/12/2020,1262,12/01/2023
24/12/2021,962,12/01/2023
24/12/2022,501,12/01/2023
25/01/2021,1178,12/01/2023
25/01/2022,1547,12/01/2023
25/02/2020,267,12/01/2023
25/02/2021,1211,12/01/2023
25/02/2022,612,12/01/2023
25/03/2020,2327,12/01/2023
25/03/2021,1852,12/01/2023
25/03/2022,776,12/01/2023
25/04/2020,437,12/01/2023
25/04/2021,833,12/01/2023
25/04/2022,536,12/01/2023
25/05/2020,175,12/01/2023
