iss_date,DATA_INIZIO_SINTOMI,CASI
10/12/2020,24/10/2020,13276
10/12/2020,25/10/2020,13293
10/12/2020,26/10/2020,17915
10/12/2020,27/10/2020,15894
10/12/2020,28/10/2020,16720
10/12/2020,29/10/2020,17193
10/12/2020,30/10/2020,16736
10/12/2020,31/10/2020,13787
10/12/2020,01/11/2020,16710
10/12/2020,02/11/2020,19655
10/12/2020,03/11/2020,16278
10/12/2020,04/11/2020,17607
10/12/2020,05/11/2020,16442
10/12/2020,06/11/2020,17279
10/12/2020,07/11/2020,16044
10/12/2020,08/11/2020,13588
10/12/2020,09/11/2020,17898
10/12/2020,10/11/2020,17032
10/12/2020,11/11/2020,14841
10/12/2020,12/11/2020,14348
10/12/2020,13/11/2020,15612
10/12/2020,14/11/2020,13661
10/12/2020,15/11/2020,13347
10/12/2020,16/11/2020,14320
10/12/2020,17/11/2020,11674
10/12/2020,18/11/2020,12516
10/12/2020,19/11/2020,9869
10/12/2020,20/11/2020,11392
10/12/2020,21/11/2020,8899
10/12/2020,22/11/2020,7443
10/12/2020,23/11/2020,9967
10/12/2020,24/11/2020,8332
10/12/2020,25/11/2020,8175
10/12/2020,26/11/2020,7819
10/12/2020,27/11/2020,7620
10/12/2020,28/11/2020,7252
10/12/2020,29/11/2020,4685
10/12/2020,30/11/2020,6720
10/12/2020,01/12/2020,6261
10/12/2020,02/12/2020,5067
10/12/2020,03/12/2020,3904
10/12/2020,04/12/2020,2933
10/12/2020,05/12/2020,1846
10/12/2020,06/12/2020,1128
10/12/2020,07/12/2020,768
10/12/2020,08/12/2020,315
10/12/2020,09/12/2020,103
10/12/2020,10/12/2020,34
10/12/2020,,851597
12/12/2020,28/01/2020,10
12/12/2020,29/01/2020,16
12/12/2020,30/01/2020,18
12/12/2020,31/01/2020,17
12/12/2020,01/02/2020,50
12/12/2020,02/02/2020,35
12/12/2020,03/02/2020,24
12/12/2020,04/02/2020,22
12/12/2020,05/02/2020,30
12/12/2020,06/02/2020,26
12/12/2020,07/02/2020,18
12/12/2020,08/02/2020,14
12/12/2020,09/02/2020,16
12/12/2020,10/02/2020,62
12/12/2020,11/02/2020,27
12/12/2020,12/02/2020,48
12/12/2020,13/02/2020,48
12/12/2020,14/02/2020,65
12/12/2020,15/02/2020,146
12/12/2020,16/02/2020,81
12/12/2020,17/02/2020,138
12/12/2020,18/02/2020,164
12/12/2020,19/02/2020,139
12/12/2020,20/02/2020,403
12/12/2020,21/02/2020,313
12/12/2020,22/02/2020,387
12/12/2020,23/02/2020,509
12/12/2020,24/02/2020,676
12/12/2020,25/02/2020,817
12/12/2020,26/02/2020,738
12/12/2020,27/02/2020,886
12/12/2020,28/02/2020,1206
12/12/2020,29/02/2020,1079
12/12/2020,01/03/2020,2472
12/12/2020,02/03/2020,1948
12/12/2020,03/03/2020,2250
12/12/2020,04/03/2020,1944
12/12/2020,05/03/2020,2631
12/12/2020,06/03/2020,2966
12/12/2020,07/03/2020,3130
12/12/2020,08/03/2020,3663
12/12/2020,09/03/2020,4423
12/12/2020,10/03/2020,6128
12/12/2020,11/03/2020,4202
12/12/2020,12/03/2020,4752
12/12/2020,13/03/2020,5339
12/12/2020,14/03/2020,4696
12/12/2020,15/03/2020,5872
12/12/2020,16/03/2020,5312
12/12/2020,17/03/2020,4510
12/12/2020,18/03/2020,4810
12/12/2020,19/03/2020,4257
12/12/2020,20/03/2020,6119
12/12/2020,21/03/2020,3815
12/12/2020,22/03/2020,3749
12/12/2020,23/03/2020,4377
12/12/2020,24/03/2020,3552
12/12/2020,25/03/2020,3823
12/12/2020,26/03/2020,3294
12/12/2020,27/03/2020,3538
12/12/2020,28/03/2020,3132
12/12/2020,29/03/2020,2374
12/12/2020,30/03/2020,3637
12/12/2020,31/03/2020,2585
12/12/2020,01/04/2020,4068
12/12/2020,02/04/2020,2652
12/12/2020,03/04/2020,2691
12/12/2020,04/04/2020,2291
12/12/2020,05/04/2020,2027
12/12/2020,06/04/2020,2450
12/12/2020,07/04/2020,2217
12/12/2020,08/04/2020,2105
12/12/2020,09/04/2020,1997
12/12/2020,10/04/2020,2698
12/12/2020,11/04/2020,1582
12/12/2020,12/04/2020,1623
12/12/2020,13/04/2020,1484
12/12/2020,14/04/2020,1797
12/12/2020,15/04/2020,2112
12/12/2020,16/04/2020,1602
12/12/2020,17/04/2020,1569
12/12/2020,18/04/2020,1250
12/12/2020,19/04/2020,975
12/12/2020,20/04/2020,1855
12/12/2020,21/04/2020,1163
12/12/2020,22/04/2020,1184
