DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
17/07/2022,29163,15/12/2022
17/08/2020,702,15/12/2022
17/08/2021,7748,15/12/2022
17/08/2022,26347,15/12/2022
17/09/2020,1758,15/12/2022
17/09/2021,4461,15/12/2022
17/09/2022,13815,15/12/2022
17/10/2020,11921,15/12/2022
17/10/2021,1228,15/12/2022
17/10/2022,62275,15/12/2022
17/11/2020,38553,15/12/2022
17/11/2021,10745,15/12/2022
17/11/2022,34147,15/12/2022
17/12/2020,16590,15/12/2022
17/12/2021,30126,15/12/2022
18/01/2021,14600,15/12/2022
18/01/2022,194954,15/12/2022
18/02/2021,14675,15/12/2022
18/02/2022,50494,15/12/2022
18/03/2020,5689,15/12/2022
18/03/2021,24120,15/12/2022
18/03/2022,75836,15/12/2022
18/04/2020,2640,15/12/2022
18/04/2021,5802,15/12/2022
18/04/2022,25647,15/12/2022
18/05/2020,655,15/12/2022
18/05/2021,5840,15/12/2022
18/05/2022,30750,15/12/2022
18/06/2020,233,15/12/2022
18/06/2021,1087,15/12/2022
18/06/2022,31456,15/12/2022
18/07/2020,172,15/12/2022
18/07/2021,1756,15/12/2022
18/07/2022,128419,15/12/2022
18/08/2020,927,15/12/2022
18/08/2021,7387,15/12/2022
18/08/2022,24441,15/12/2022
18/09/2020,1930,15/12/2022
18/09/2021,3485,15/12/2022
18/09/2022,6536,15/12/2022
18/10/2020,6426,15/12/2022
18/10/2021,3767,15/12/2022
18/10/2022,40766,15/12/2022
18/11/2020,37063,15/12/2022
18/11/2021,11138,15/12/2022
18/11/2022,33211,15/12/2022
18/12/2020,17037,15/12/2022
18/12/2021,24426,15/12/2022
19/01/2021,14633,15/12/2022
19/01/2022,190315,15/12/2022
19/02/2021,15499,15/12/2022
19/02/2022,42027,15/12/2022
19/03/2020,5683,15/12/2022
19/03/2021,23643,15/12/2022
19/03/2022,61944,15/12/2022
19/04/2020,1389,15/12/2022
19/04/2021,14763,15/12/2022
19/04/2022,110182,15/12/2022
19/05/2020,720,15/12/2022
19/05/2021,5123,15/12/2022
19/05/2022,26882,15/12/2022
19/06/2020,290,15/12/2022
19/06/2021,827,15/12/2022
19/06/2022,15698,15/12/2022
19/07/2020,111,15/12/2022
19/07/2021,4250,15/12/2022
19/07/2022,85359,15/12/2022
19/08/2020,1080,15/12/2022
19/08/2021,7179,15/12/2022
19/08/2022,24452,15/12/2022
19/09/2020,1336,15/12/2022
19/09/2021,1706,15/12/2022
19/09/2022,29799,15/12/2022
19/10/2020,17662,15/12/2022
19/10/2021,3952,15/12/2022
19/10/2022,39397,15/12/2022
19/11/2020,35492,15/12/2022
19/11/2021,11630,15/12/2022
19/11/2022,25475,15/12/2022
19/12/2020,12995,15/12/2022
19/12/2021,12616,15/12/2022
20/01/2021,13805,15/12/2022
20/01/2022,174697,15/12/2022
20/02/2020,<5,15/12/2022
20/02/2021,12702,15/12/2022
20/02/2022,20661,15/12/2022
20/03/2020,6261,15/12/2022
20/03/2021,17950,15/12/2022
20/03/2022,29235,15/12/2022
20/04/2020,3008,15/12/2022
20/04/2021,15702,15/12/2022
20/04/2022,76640,15/12/2022
20/05/2020,676,15/12/2022
20/05/2021,4428,15/12/2022
