X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583625600000","1","1","1702"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583712000000","2","0","1703"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583798400000","4","0","1704"
9.94527967,45.49723914,"1279","3017041",CASTELCOVATI,BRESCIA,BS,LOMBARDIA,9.94527967,45.49723914,"1279","1583193600000","3","0","1705"
9.94527967,45.49723914,"1279","3017041",CASTELCOVATI,BRESCIA,BS,LOMBARDIA,9.94527967,45.49723914,"1279","1583452800000","2","0","1706"
9.94527967,45.49723914,"1279","3017041",CASTELCOVATI,BRESCIA,BS,LOMBARDIA,9.94527967,45.49723914,"1279","1583712000000","2","0","1707"
9.94527967,45.49723914,"1279","3017041",CASTELCOVATI,BRESCIA,BS,LOMBARDIA,9.94527967,45.49723914,"1279","1583798400000","1","0","1708"
9.94527967,45.49723914,"1279","3017041",CASTELCOVATI,BRESCIA,BS,LOMBARDIA,9.94527967,45.49723914,"1279","1583884800000","1","0","1709"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583193600000","1","0","1710"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583280000000","1","0","1711"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583452800000","3","0","1712"
10.14330857,45.50000512,"208","3017042",CASTEL MELLA,BRESCIA,BS,LOMBARDIA,10.14330857,45.50000512,"208","1583539200000","3","0","1713"
